City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,houghton,47.1219,-88.569,43.83,93,9,3.53,US,1697532461
118,port hedland,-20.3167,118.5667,96.85,16,0,17.27,AU,1697532463
119,bubaque,11.2833,-15.8333,81.23,77,14,5.64,GW,1697532464
120,baymak,52.5933,58.3225,50.76,48,0,21.09,RU,1697532465
121,tiznit,29.5833,-9.5,74.79,38,97,1.81,MA,1697532466
122,correntina,-13.3433,-44.6367,68.49,58,4,3.98,BR,1697532467
123,paraiso,9.8383,-83.8656,63.46,93,100,0.65,CR,1697532469
124,kulu,39.0951,33.0799,60.8,54,9,6.76,TR,1697532470
125,nemuro,43.3236,145.575,48.29,69,13,21.12,JP,1697532471
126,port elizabeth,-33.918,25.5701,70.32,68,20,9.22,ZA,1697532472
127,boaco,12.4722,-85.6586,71.11,96,100,2.82,NI,1697532474
128,udachny,66.4167,112.4,25.45,92,98,6.29,RU,1697532475
129,sisimiut,66.9395,-53.6735,17.19,82,33,7.87,GL,1697532213
130,vilyuysk,63.7553,121.6247,28.18,52,100,11.99,RU,1697532477
131,lihue,21.9789,-159.3672,78.39,74,75,8.05,US,1697532479
132,macapa,0.0389,-51.0664,80.58,83,40,4.61,BR,1697532480
133,dunedin,-45.8742,170.5036,46.8,78,60,4.34,NZ,1697532461
134,fada,9.5667,8.3,75.94,79,100,1.19,NG,1697532482
135,kuta,-8.7233,115.1723,84.15,74,40,13.0,ID,1697532484
136,kenai,60.5544,-151.2583,45.14,83,75,5.75,US,1697532485
